パッチバージョン,変更対象,変更概要,変更部分,変更前,変更後
patch9.2,ガリオ,Q - 戦の旋風,突風のダメージ反映率,魔力×0.9,魔力×0.75
patch9.2,ガリオ,Q - 戦の旋風,竜巻のダメージ反映率,魔力100ごとに対象の最大体力の4%,魔力100ごとに対象の最大体力の2%（対象の最大体力の6%の基本ダメージには変更なし）
patch9.2,ガリオ,Q - 戦の旋風,基本ダメージ,100/130/160/190/220,80/115/150/185/220
patch9.2,ガリオ,E - 正義の鉄拳,基本ダメージ,100/130/160/190/220,80/115/150/185/220
patch9.2,ジャーヴァンⅣ,E - デマーシアの旗印,増加攻撃速度,15/17.5/20/22.5/25%,20/22.5/25/27.5/30%（注：ジャーヴァンにはこの効果が常時付与されていることに加え、旗の付近にいることで重複して効果を得られる点をお忘れなきよう）
patch9.2,ジャックス,基本ステータス,攻撃力,69.97,68
patch9.2,ジャックス,基本ステータス,基本ダメージ,80/120/160/200/240（+増加攻撃力×1.0）（+魔力×0.6）,65/105/145/185/225（+増加攻撃力×1.0）（+魔力×0.6）
patch9.2,ジャックス,Q - リープストライク,基本ダメージ,80/120/160/200/240（+増加攻撃力×1.0）（+魔力×0.6）,65/105/145/185/225（+増加攻撃力×1.0）（+魔力×0.6）
patch9.2,カサディン,基本ステータス,基本物理防御,23.376,19
patch9.2,カサディン,基本ステータス,レベルアップごとの基本物理防御,3.2,2.8
patch9.2,ケイン,固有スキル - 緋眼の大鎌,変身の進行度合,「ダーキン」と「影の暗殺者」形態への変身の進行度合は個別,「ダーキン」と「影の暗殺者」形態への変身の進行度合は共有に。変身可能になると、ケインがより多く集めたオーブをもとに変身できる形態が決定されます
patch9.2,ケイン,固有スキル - 緋眼の大鎌,変身の閾値,チャンピオンタイプごとに400ポイント,チャンピオンタイプを問わず計500ポイント（進行度合が統合されたことによるポイント獲得速度の増加を相殺するための変更）
patch9.2,ニーコ,W - シェイプスプリッター,クローンと増加移動速度の効果時間,2秒,3秒（ステルスの効果時間は0.5秒のまま）
patch9.2,オーン,基本ステータス,体力,565.64,590
patch9.2,オーン,基本ステータス,物理防御,33.04,36
patch9.2,シヴァーナ,固有スキル - 龍血の憤怒,ドラゴンに対する追加ダメージ,10%,20%（ツイステッドツリーラインのヴァイルモーにも適用）
patch9.2,シヴァーナ,固有スキル - 龍血の憤怒,マークされた対象へのダメージ,対象の最大体力の2.5%,対象の最大体力の3.25%
patch9.2,シヴァーナ,E - フレイムブレス,マークされた対象へのダメージ,対象の最大体力の2.5%,対象の最大体力の3.25%
patch9.2,アーゴット,基本ステータス,基本物理防御,39,36
patch9.2,アーゴット,基本ステータス,マナコスト,50マナ,60マナ
patch9.2,アーゴット,基本ステータス,クールダウン,13/12/11/10/9秒,17/15/13/11/9秒
patch9.2,アーゴット,Q - コラプトシェル,マナコスト,50マナ,60マナ
patch9.2,アーゴット,Q - コラプトシェル,クールダウン,13/12/11/10/9秒,17/15/13/11/9秒
patch9.2,アーゴット,W - パージ,クールダウン,13/12/11/10/9秒,17/15/13/11/9秒
patch9.2,ボリベア,E - 雄大な咆哮,ダッシュ中／空中のターゲットに対する追加ダメージ,40/60/80/100/120（+魔力×0.3）,対象の最大体力の8%
patch9.2,ボリベア,E - 雄大な咆哮,ダメージ反映率,魔力×0.3,魔力×0.4
patch9.2,ボリベア,E - 雄大な咆哮,発動時の稲妻,0.25秒後,0.1秒後
patch9.2,ザイラ,基本ステータス,マナ自動回復,5秒ごとに15.335,5秒ごとに13
patch9.3,エイトロックス,基本ステータス,体力自動回復量,5,8
patch9.3,エイトロックス,基本ステータス,レベルアップごとの体力自動回復,0.25,0.75
patch9.3,アカリ,基本ステータス,体力自動回復量,3.5,6
patch9.3,カシオペア,Q - ノクサスブラスト,基本ダメージ,75/120/165/210/255,75/110/145/180/215
patch9.3,カシオペア,Q - ノクサスブラスト,ダメージ反映率,魔力×0.8,魔力×0.9
patch9.3,カシオペア,Q - ノクサスブラスト,マナコスト,スキルレベルにかかわらず70マナ,70/80/90/100/110マナ
patch9.3,カシオペア,Q - ノクサスブラスト,毎秒ダメージ,20/30/40/50/60,20/25/30/35/40
patch9.3,カシオペア,Q - ノクサスブラスト,最大ダメージ,100/150/200/250/300,100/125/150/175/200
patch9.3,カシオペア,W - ミアズマ,マナコスト,スキルレベルにかかわらず70マナ,70/80/90/100/110マナ
patch9.3,カシオペア,W - ミアズマ,毎秒ダメージ,20/30/40/50/60,20/25/30/35/40
patch9.3,カシオペア,W - ミアズマ,最大ダメージ,100/150/200/250/300,100/125/150/175/200
patch9.3,イレリア,基本ステータス,レベルアップごとの体力,85,95
patch9.3,イレリア,基本ステータス,物理防御,34,36
patch9.3,イレリア,基本ステータス,スタックごとのステータス増加,通常攻撃命中時に追加ダメージ4～17（チャンピオンレベル1～18）（+増加攻撃力×0.04）,攻撃速度8/10/12%（チャンピオンレベル1/7/13）
patch9.3,イレリア,基本ステータス,スタック上限,4,5
patch9.3,イレリア,基本ステータス,最大スタック時のステータス増加,通常攻撃命中時に追加ダメージ16～68（チャンピオンレベル1～18）（+増加攻撃力×0.16）,攻撃速度40/50/60%（チャンピオンレベル1/7/13）
patch9.3,イレリア,基本ステータス,最大スタック時のボーナス,攻撃速度30/40/50%（チャンピオンレベル1/7/13）,通常攻撃命中時に追加ダメージ15～66（チャンピオンレベル1～18）（+増加攻撃力×0.25）
patch9.3,イレリア,基本ステータス,ミニオンへの追加ダメージ,45/60/75/90/105,55/75/95/115/135
patch9.3,イレリア,基本ステータス,ダメージ軽減率,物理ダメージおよび魔法ダメージの40%を軽減,物理ダメージの50%を軽減、魔法ダメージは軽減せず
patch9.3,インフィニティ・エッジ,モルテン・エッジ,攻撃力,100,110
patch9.3,リサンドラ,Q - アイスシャード,コスト,60/63/66/69/72マナ,60/65/70/75/80マナ
patch9.3,リサンドラ,Q - アイスシャード,ダメージ,70/115/160/205/250,70/105/140/175/210
patch9.3,サイオン,Q - 破滅の斧,最小ダメージ,30/50/70/90/110,20/40/60/80/100
patch9.3,サイオン,Q - 破滅の斧,最大チャージ時のダメージ,90/150/210/270/330,60/120/180/240/300
patch9.3,サイオン,Q - 破滅の斧,クールダウン,スキルレベルにかかわらず11秒,15/14/13/12/11秒
patch9.3,サイオン,W - 魂の炉心,クールダウン,スキルレベルにかかわらず11秒,15/14/13/12/11秒
patch9.3,ザイラ,全般,植物のダメージ,24～109（チャンピオンレベル1～18）,20～100（チャンピオンレベル1～18）
patch9.18,エイトロックス,固有スキル - 死兆の構え,体力回復,対象の種類を問わず、与えた追加物理ダメージと同量の体力を回復,ミニオン攻撃時に与えたダメージの25%に相当する体力を回復（その他の対象を攻撃した際の回復量は変更なし）
patch9.18,エイトロックス,固有スキル - 死兆の構え,ミニオンに対するダメージ,50%～100%（チャンピオンレベル1～18）,チャンピオンレベルにかかわらず40%
patch9.18,エイトロックス,Q - ダーキンブレード,ミニオンに対するダメージ,50%～100%（チャンピオンレベル1～18）,チャンピオンレベルにかかわらず40%
patch9.18,オレリオン・ソル,基本ステータス,体力,510,575
patch9.18,ケイトリン,基本ステータス,基本攻撃力,60,62
patch9.18,エコー,W - パラレルトラップ,マナコスト,50/55/60/65/70マナ,30/35/40/45/50マナ
patch9.18,エコー,W - パラレルトラップ,スタン効果時間,1.75秒,2.25秒
patch9.18,イブリン,R - ラストカレス,強化時ダメージ増加率,残り体力が最大体力の30%以下の対象に対して100%,残り体力が最大体力の30%以下の対象に対して140%
patch9.18,イブリン,R - ラストカレス,強化時ダメージ,250/500/750（+魔力×1.5）,300/600/900（+魔力×1.8）
patch9.18,ジン,基本ステータス,基本攻撃力,57,59
patch9.18,カイ＝サ,E - スーパーチャージ,増加攻撃速度,40/50/60/70/80%,40/45/50/55/60%
patch9.18,ケイル,E - 星炎の刃,自動効果による基本追加ダメージ,10/15/20/25/30,15/20/25/30/35
patch9.18,リー・シン,基本ステータス,体力,570.8,575
patch9.18,リー・シン,基本ステータス,基本攻撃力,69.2,70
patch9.18,リー・シン,基本ステータス,基本ダメージ,150/375/600,175/400/625
patch9.18,リー・シン,R - 龍の怒り,基本ダメージ,150/375/600,175/400/625
patch9.18,ミス・フォーチュン,E - レイニングバレット,スロウ効果,28/36/44/52/60%,40/45/50/55/60%
patch9.18,ヌヌ＆ウィルンプ,基本ステータス,レベルアップごとの体力,90,82
patch9.18,ヌヌ＆ウィルンプ,基本ステータス,レベルアップごとの基本物理防御,3.5,3
patch9.18,ヌヌ＆ウィルンプ,基本ステータス,マナ,283.56,280
patch9.18,ヌヌ＆ウィルンプ,基本ステータス,マナ自動回復,7.44,7
patch9.18,ヌヌ＆ウィルンプ,基本ステータス,スロウ効果,50%,30/35/40/45/50%
patch9.18,ヌヌ＆ウィルンプ,E - 雪玉連射,スロウ効果,50%,30/35/40/45/50%
patch9.18,ザヤ,基本ステータス,基本物理防御,28,25
patch9.18,ザヤ,基本ステータス,クールダウン,140/125/110秒,160/145/130秒
patch9.18,ザヤ,R - フェザーストーム,クールダウン,140/125/110秒,160/145/130秒
patch9.18,ゾーイ,固有スキル - スパークル！,追加魔法ダメージ,10/12/16/20/24/28/34/40/46/52/60/68/76/84/94/104/114/124,16/20/24/28/32/36/42/48/54/60/66/74/82/90/100/110/120/130
patch9.19,エイトロックス,Q - ダーキンブレード,ミニオンに対するダメージ減少率,60%,45%
patch9.19,アカリ,R - 完遂,Rの2発目の最大ダメージ,195/420/645,225/450/645
patch9.19,アニー,E - モルテンシールド,増加移動速度,25%～50.5%（チャンピオンレベル1～18）,30%～60%（チャンピオンレベル1～18）
patch9.19,アニー,E - モルテンシールド,クールダウン,15秒,14/13/12/11/10秒
patch9.19,アッシュ,固有スキル - フロストショット,スロウ効果,15%～30%（チャンピオンレベル1～18）,20%～30%（チャンピオンレベル1～18）
patch9.19,ブリッツクランク,Q - ロケットグラブ,射程,1050,1150
patch9.19,ブリッツクランク,Q - ロケットグラブ,自動効果の最大スタック数,マーク2つ,マーク3つ
patch9.19,ブリッツクランク,R - イナズマフィールド,自動効果の最大スタック数,マーク2つ,マーク3つ
patch9.19,グラガス,W - 飲みすぎ注意,クールダウン,5秒,6秒
patch9.19,グラガス,W - 飲みすぎ注意,ダメージ反映率,対象の最大体力の8%,対象の最大体力の7%
patch9.19,グレイブス,基本ステータス,基本攻撃力,66,68
patch9.19,グレイブス,基本ステータス,体力,551.1,555
patch9.19,グレイブス,基本ステータス,マナ,322.2,325
patch9.19,グレイブス,基本ステータス,マナ自動回復,7.9,8
patch9.19,ハイマーディンガー,Q - H-28G革新砲,通常砲撃の反映率,魔力×0.3,魔力×0.35
patch9.19,ハイマーディンガー,Q - H-28G革新砲,スタン効果時間,1.25秒,1.5秒
patch9.19,ハイマーディンガー,Q - H-28G革新砲,通常砲撃の反映率,魔力×0.3,魔力×0.35
patch9.19,ハイマーディンガー,E - CH-2超電磁グレネード,スタン効果時間,1.25秒,1.5秒
patch9.19,ハイマーディンガー,E - CH-2超電磁グレネード,通常砲撃の反映率,魔力×0.3,魔力×0.35
patch9.19,ハイマーディンガー,R - H-28Q超絶砲,通常砲撃の反映率,魔力×0.3,魔力×0.35
patch9.19,カルマ,Q - 心炎,ダメージ反映率,魔力×0.6,魔力×0.4
patch9.19,モルデカイザー,W - 不滅の鎧,与ダメージによる貯蓄シールド増加割合,与えたダメージの30%,与えたダメージの35%
patch9.19,オリアナ,R - オーダー:ショックウェーブ,ダメージ,150/225/300（+魔力×0.7）,200/275/350（+魔力×0.8）
patch9.19,オーン,固有スキル - 歩く鍛冶場,「名匠」アップグレード,13,12で利用可能
patch9.19,パンテオン,基本ステータス,魔法防御,32.1,28
patch9.19,パンテオン,基本ステータス,強化時ダメージ,3回の攻撃で合計攻撃力の150%のダメージを与える,3回の攻撃で合計攻撃力の135%～165%（チャンピオンレベル1～18）のダメージを与える
patch9.19,パンテオン,W - 跳撃の盾,強化時ダメージ,3回の攻撃で合計攻撃力の150%のダメージを与える,3回の攻撃で合計攻撃力の135%～165%（チャンピオンレベル1～18）のダメージを与える
patch9.19,レク＝サイ,基本ステータス,基本物理防御,33,36
patch9.19,リヴェン,Q - 折れた翼,クールダウン,12秒,13秒
patch9.19,リヴェン,Q - 折れた翼,クールダウン,14/13/12/11/10秒,12/11/10/9/8秒
patch9.19,リヴェン,E - 勇躍,クールダウン,14/13/12/11/10秒,12/11/10/9/8秒
patch9.19,セジュアニ,固有スキル - 極北の激憤,「砕氷」のダメージ反映率,対象の最大体力の10/15/20%（チャンピオンレベル1/7/14）,対象の最大体力の10%
patch9.19,サイオン,W - 魂の炉心,基本シールド量,30/55/80/105/130,50/75/100/125/150
patch9.19,サイラス,基本ステータス,基本物理防御,32,28
patch9.19,サイラス,基本ステータス,レベルアップごとの基本物理防御,3,2.5
patch9.19,サイラス,基本ステータス,ダメージ反映率,9～60（チャンピオンレベル1～18）（+合計攻撃力×1.0）（+魔力×0.2）、メイン対象以外のミニオンに対しては50%低下,メイン対象に対しては（+合計攻撃力×1.1）（+魔力×0.2）、それ以外の対象に対しては（+合計攻撃力×0.4）（+魔力×0.2）
patch9.19,サイラス,固有スキル - ペトリサイトバースト,ダメージ反映率,9～60（チャンピオンレベル1～18）（+合計攻撃力×1.0）（+魔力×0.2）、メイン対象以外のミニオンに対しては50%低下,メイン対象に対しては（+合計攻撃力×1.1）（+魔力×0.2）、それ以外の対象に対しては（+合計攻撃力×0.4）（+魔力×0.2）
patch9.19,タム・ケンチ,E - ゆるゆる皮膜,灰色の体力に応じた体力回復量,スキルレベルにかかわらず灰色の体力の75%,灰色の体力の30%～100%（チャンピオンレベル1～18）
patch9.19,ツイステッド・フェイト,E - スタックデッキ,増加攻撃速度,10/15/20/25/30%,20/25/30/35/40%
patch9.19,ツイステッド・フェイト,E - スタックデッキ,基本ダメージ,55/80/105/130/155,65/90/115/140/165
patch9.19,ヴェイン,R - ファイナルアワー,増加攻撃力,20/30/40,25/40/55
patch9.19,ベイガー,E - イベントホライズン,クールダウン,18/17/16/15/14秒,18/16.5/15/13.5/12秒
patch9.19,シン・ジャオ,固有スキル - 不退転,基本体力回復量,8～59（チャンピオンレベル1～18）,10～78（チャンピオンレベル1～18）
patch9.19,シン・ジャオ,固有スキル - 不退転,基本ダメージ,20/25/30/35/40,20/28/36/44/52
patch9.19,シン・ジャオ,Q - 三槍撃,基本ダメージ,20/25/30/35/40,20/28/36/44/52
patch9.19,ユーミ,Q - きまぐれミサイル,スロウ効果,20/32/44/56/68/80%,スキルレベルにかかわらず20%
patch9.19,ユーミ,Q - きまぐれミサイル,スロウ効果時間,1.5秒,1秒
patch9.20,ブリッツクランク,基本ステータス,基本物理防御,44,40
patch9.20,ブリッツクランク,基本ステータス,レベルアップごとの基本物理防御,4,3.5
patch9.20,ガレン,基本ステータス,レベルアップごとの攻撃速度,2.9%,3.65%
patch9.20,ガレン,基本ステータス,体力,616.28,620
patch9.20,ガレン,基本ステータス,レベルアップごとの体力,84.25,84
patch9.20,ガレン,基本ステータス,体力自動回復率,5秒ごとに最大体力の2/8%（チャンピオンレベルに応じて増加）,5秒ごとに最大体力の1.5～10.1%（チャンピオンレベル1～18）
patch9.20,アイバーン,基本ステータス,通常攻撃射程,125,475（アイバーンはあらゆるルーンやアイテムなどにおいて遠隔攻撃チャンピオンとして扱われるようになりました）
patch9.20,リサンドラ,基本ステータス,基本物理防御,20.216,22
patch9.20,リサンドラ,基本ステータス,ダメージ反映率,魔力×0.3,魔力×0.5
patch9.20,リサンドラ,基本ステータス,ダメージ反映率,魔力×0.5,魔力×0.7
patch9.20,リサンドラ,固有スキル - アイスボーンへの服従,ダメージ反映率,魔力×0.3,魔力×0.5
patch9.20,リサンドラ,固有スキル - アイスボーンへの服従,ダメージ反映率,魔力×0.5,魔力×0.7
patch9.20,リサンドラ,W - リング・オブ・フロスト,ダメージ反映率,魔力×0.5,魔力×0.7
patch9.20,キヤナ,Q - イシュタルの切先,基本ダメージ,80/100/120/140/160,60/85/110/135/160
patch9.20,シャコ,基本ステータス,基本攻撃力,66,63
patch9.20,シャコ,基本ステータス,レベルアップごとの基本攻撃力,3.5,3
patch9.20,ヴァルス,基本ステータス,基本攻撃力,59,61
patch9.20,ヴァルス,基本ステータス,マナ自動回復,7.34,8
patch9.20,ヴァルス,基本ステータス,マナ,360.5,360
patch9.20,ヴァルス,基本ステータス,体力,499,500
patch9.21,ガレン,E - ジャッジメント,1回転あたりの基本ダメージ,8/12/16/20/24,4/8/12/16/20
patch9.21,ケイン,Q - 飛影斬,ダメージ,60/80/100/120/140,75/95/115/135/155
patch9.21,ケイン,Q - 飛影斬,ダーキン化によるダメージ内訳変更後の反映率,合計攻撃力×0.5,合計攻撃力×0.55
patch9.21,ケイン,Q - 飛影斬,モンスターに対する追加ダメージ,55,40
patch9.21,コグ＝マウ,基本ステータス,マナ,322.22,325
patch9.21,コグ＝マウ,基本ステータス,マナ自動回復,8.676,8.75
patch9.21,コグ＝マウ,基本ステータス,基本ダメージ,80/130/180/230/280,90/140/190/240/290
patch9.21,コグ＝マウ,基本ステータス,基本ダメージ,60/105/150/195/240,75/120/165/210/255
patch9.21,コグ＝マウ,Q - 腐食粘液,基本ダメージ,80/130/180/230/280,90/140/190/240/290
patch9.21,コグ＝マウ,Q - 腐食粘液,基本ダメージ,60/105/150/195/240,75/120/165/210/255
patch9.21,コグ＝マウ,E - ヴォイド分泌液,基本ダメージ,60/105/150/195/240,75/120/165/210/255
patch9.21,ルル,E - ピックス、おねがい！,シールド量,80/115/150/185/220,80/120/160/200/240
patch9.21,ルル,E - ピックス、おねがい！,ダメージ,80/110/140/170/200,80/120/160/200/240
patch9.21,パイク,基本ステータス,レベルアップごとの体力,100,90
patch9.21,パイク,基本ステータス,灰色の体力,敵チャンピオンから受けたダメージの30～81%（チャンピオンレベル1～18）,敵チャンピオンから受けたダメージの25～50%（チャンピオンレベル1～18）
patch9.21,パイク,固有スキル - 沈みし者の力,灰色の体力,敵チャンピオンから受けたダメージの30～81%（チャンピオンレベル1～18）,敵チャンピオンから受けたダメージの25～50%（チャンピオンレベル1～18）
patch9.21,シャコ,W - びっくり箱,「びっくり箱」の持続時間,60秒,40秒
patch9.21,ビクター,基本ステータス,体力,528.04,530
patch9.21,ビクター,基本ステータス,基本攻撃力,52.04,53
patch9.21,ビクター,基本ステータス,基本物理防御,22.72,23
patch9.21,ビクター,基本ステータス,ダメージ,50/65/80/95/110,60/75/90/105/120
patch9.21,ワーウィック,Q - 野獣の牙,ダメージ反映率,対象の最大体力の6/6.5/7/7.5/8%,対象の最大体力の6/7/8/9/10%
patch9.21,ワーウィック,Q - 野獣の牙,増加攻撃速度,「血の追跡」の対象または残り体力が50%以下に低下した敵を攻撃する際に50/65/80/95/110%,「血の追跡」の対象または残り体力が50%以下に低下した敵を攻撃する際に70/80/90/100/110%
patch9.21,ワーウィック,W - 血の追跡,増加攻撃速度,「血の追跡」の対象または残り体力が50%以下に低下した敵を攻撃する際に50/65/80/95/110%,「血の追跡」の対象または残り体力が50%以下に低下した敵を攻撃する際に70/80/90/100/110%
patch9.22,アッシュ,W - ボレー,マナコスト,50マナ,70マナ
patch9.22,ブリッツクランク,Q - ロケットグラブ,基本ダメージ,80/135/190/245/300,70/120/170/220/270
patch9.22,カイ＝サ,Q - イカシアの雨,非ミニオンへのミサイル複数命中時のダメージ,30%,25%
patch9.22,カリスタ,W - 執念の霊魂,マークされた対象への追加ダメージ,対象の最大体力の5/7.5/10/12.5/15%,対象の最大体力の10/12/14/16/18%
patch9.22,カリスタ,W - 執念の霊魂,マークの持続時間,3秒,4秒
patch9.22,ケイル,Q - 裁きの射光,基本ダメージ,70/115/160/205/250,60/100/140/180/220
patch9.22,ケイル,Q - 裁きの射光,マナコスト,60/70/80/90/100マナ,70/80/90/100/110マナ
patch9.22,ケイル,W - 天の祝福,マナコスト,60/70/80/90/100マナ,70/80/90/100/110マナ
patch9.22,マルファイト,R - アンストッパブル・フォース,反映率,魔力×1.0,魔力×0.8
patch9.22,ノーチラス,R - 爆雷発射,メイン対象への基本ダメージ,200/325/450,150/275/400
patch9.22,パンテオン,Q - 彗星の槍,ミニオンに対するダメージ低下率,20%,30%
patch9.22,パンテオン,Q - 彗星の槍,ダメージ増加効果発動ライン,対象の残り体力が25%以下,対象の残り体力が20%以下
patch9.22,セジュアニ,基本ステータス,基本攻撃力,64,66
patch9.22,セジュアニ,基本ステータス,レベルアップごとの体力自動回復,0.85,1
patch9.22,セジュアニ,基本ステータス,レベルアップごとの攻撃速度,3%,3.5%
patch9.22,セジュアニ,基本ステータス,ダメージ,80/120/160/200/240（+魔力×0.4）,80/130/180/230/280（+魔力×0.6）
patch9.22,サイラス,基本ステータス,基本体力自動回復,7,9
patch9.22,サイラス,基本ステータス,レベルアップごとの体力自動回復,1,0.9
patch9.22,サイラス,基本ステータス,魔法防御,36.1,39
patch9.22,サイラス,基本ステータス,マナコスト,50/55/60/65/70マナ,40/45/50/55/60マナ
patch9.22,サイラス,W - 王殺し,マナコスト,50/55/60/65/70マナ,40/45/50/55/60マナ
patch9.22,ザヤ,W - デッドリープルーム,増加攻撃速度,40/47.5/55/62.5/70%,35/40/45/50/55%
patch9.24,アムム,Q - 絡みつく包帯,クールダウン,12/11/10/9/8秒,10/9.5/9/8.5/8秒
patch9.24,ブラウム,基本ステータス,レベルアップごとの体力,87,98
patch9.24,ブラウム,基本ステータス,体力自動回復,8,8.5
patch9.24,ブラウム,基本ステータス,クールダウン,14/13/12/11/10秒,12/11/10/9/8秒
patch9.24,ブラウム,基本ステータス,マナコスト,50/55/60/65/70マナ,スキルレベルにかかわらず40マナ
patch9.24,ブラウム,基本ステータス,味方に付与する防御力,10/14/18/22/26（+増加防御力の10/11.5/13/14.5/16%）,10/14/18/22/26（+増加防御力の12%）
patch9.24,ブラウム,基本ステータス,自身に付与する防御力,10/14/18/22/26（+増加防御力の10/11.5/13/14.5/16%）,10/14/18/22/26（+増加防御力の36%）
patch9.24,ブラウム,基本ステータス,基本ダメージ,150/250/350,150/300/450
patch9.24,ブラウム,基本ステータス,対象へのノックアップ効果,裂け目の真上にいた対象は0.25秒、その周囲の対象は通常のノックアップ,スキルレベルにかかわらず、最初に裂け目の真上で命中した対象はブラウムからの距離に応じて1～1.5秒、それ以降の対象および周囲の対象は0.25秒ノックアップ
patch9.24,ブラウム,W - ワシに任せとけ！,クールダウン,14/13/12/11/10秒,12/11/10/9/8秒
patch9.24,ブラウム,W - ワシに任せとけ！,マナコスト,50/55/60/65/70マナ,スキルレベルにかかわらず40マナ
patch9.24,ブラウム,W - ワシに任せとけ！,味方に付与する防御力,10/14/18/22/26（+増加防御力の10/11.5/13/14.5/16%）,10/14/18/22/26（+増加防御力の12%）
patch9.24,ブラウム,W - ワシに任せとけ！,自身に付与する防御力,10/14/18/22/26（+増加防御力の10/11.5/13/14.5/16%）,10/14/18/22/26（+増加防御力の36%）
patch9.24,ブラウム,W - ワシに任せとけ！,基本ダメージ,150/250/350,150/300/450
patch9.24,ブラウム,W - ワシに任せとけ！,対象へのノックアップ効果,裂け目の真上にいた対象は0.25秒、その周囲の対象は通常のノックアップ,スキルレベルにかかわらず、最初に裂け目の真上で命中した対象はブラウムからの距離に応じて1～1.5秒、それ以降の対象および周囲の対象は0.25秒ノックアップ
patch9.24,ブラウム,R - 氷河の裂溝,基本ダメージ,150/250/350,150/300/450
patch9.24,ブラウム,R - 氷河の裂溝,対象へのノックアップ効果,裂け目の真上にいた対象は0.25秒、その周囲の対象は通常のノックアップ,スキルレベルにかかわらず、最初に裂け目の真上で命中した対象はブラウムからの距離に応じて1～1.5秒、それ以降の対象および周囲の対象は0.25秒ノックアップ
patch9.24,ガレン,E - ジャッジメント,回転数,7（+攻撃速度20%につき1）回,7（+攻撃速度25%につき1）回
patch9.24,ガレン,E - ジャッジメント,回転ダメージ,4/8/12/16/20（+チャンピオンレベルに応じて0～8.2）（+攻撃力×0.32～0.4）,4/8/12/16/20（+チャンピオンレベルに応じて0～6.6）（+攻撃力×0.32～0.4）
patch9.24,カルマ,E - 激励,基本シールド量,70/95/120/145/170,80/110/140/170/200
patch9.24,カサディン,Q - ヴォイドスフィア,クールダウン,スキルレベルにかかわらず9秒,11/10.5/10/9.5/9秒
patch9.24,カサディン,Q - ヴォイドスフィア,マナ回復,減少マナの4/5/6/7/8%,減少マナの4/4.5/5/5.5/6%（チャンピオンに対しては5倍）
patch9.24,カサディン,W - ネザーブレード,マナ回復,減少マナの4/5/6/7/8%,減少マナの4/4.5/5/5.5/6%（チャンピオンに対しては5倍）
